desc,tsne_x,tsne_y,desc_clear,target,target_num,labels_kmeans,labels_affinity_prop
"Школа Бортпроводников, общий вид площадок, объектов , самолетов. Зеленые насаждения.",45.615467,23.620258,школа бортпроводник общий вид площадка объект самолет зеленый насаждение,школа,75,1,14
"Аэропорт, просторные внутренние пространства, эскалатор, металлические конструкции перекрытия.",-3.5970798,68.282394,аэропорт просторный внутренний пространство эскалатор металлический конструкция перекрытие,аэропорт,5,45,16
"Аэропорт, большие внутренние объемы помещений, колонны, большие площади остекления, открытые металлические конструкции.",-1.1671625,84.2527,аэропорт большой внутренний объем помещение колонна большой площадь остекление открытый металлический конструкция,аэропорт,5,19,19
Ангар для стоянки бизнес-джетов.,13.468817,55.84669,ангар стоянка бизнес джет,ангар,2,65,17
Ангар для самолетов и вертолетов.,40.397728,24.823486,ангар самолет вертолет,ангар,2,26,18
"Салон cамолета, кабина.",-30.63831,-29.649435,салон самолет кабина,салон,59,61,88
"Самолет Ил-76, внешний вид , фюзеляж, кабина.",34.164776,-34.134422,самолет ил 76 внешний вид фюзеляж кабина,самолет,60,6,3
"Тренажер для обучения бортпроводников, имитирующий салон самолета",64.91035,-16.29525,тренажер обучение бортпроводник имитировать салон самолет,салон,59,95,15
Темное пространство .,26.414759,-27.851633,темный пространство,пространство,54,98,12
Одноэтажный автосервис с синими стенами.,25.397198,0.5511713,одноэтажный автосервис синий стена,автосервис,1,33,6
Большой двухуровневый автосалон.,14.440421,-7.9246354,большой двухуровневый автосалон,none,0,1,4
Автомойка с большими окнами .,33.23453,-5.965605,автомойка большой окно,none,0,81,5
Автосервис с большими окнами.,36.099365,-7.1510234,автосервис большой окно,автосервис,1,75,5
"Гаражно-строительный кооператив, советская постройка, объекты из красного кирпича, природа и город на заднем плане.",-24.454882,4.617143,гаражно-строительный кооператив советский постройка объект красный кирпич природа город задний план,none,0,13,0
"Гаражно-строительный кооператив, урбанистика, объекты из металла.",8.071834,3.421375,гаражно-строительный кооператив урбанистика объект металл,none,0,5,6
"Гаражно-строительный кооператив, советская постройка, гаражи из металла , фактурные ржавые поверхности, урбанистическая панорама.",-24.478483,4.603167,гаражно-строительный кооператив советский постройка гараж металл фактурный ржавый поверхность урбанистический панорама,гараж,15,91,0
"Хорошо асфальтированная дорога, в городской среде, проходящая возле водного природного раздела.",-24.307007,-7.863261,асфальтировать дорога городской среда проходить возле водный природный раздел,дорога,19,28,1
"Извилистая трасса, покрытая асфальтовой крошкой.",-8.438212,-7.058142,извилистый трасса покрывать асфальтовый крошка,none,0,58,45
Качественная трасса для автогонок.,8.403708,3.6417773,качественный трасса автогонки,none,0,5,24
"Автодром, предназначенный для проведения соревнований по автомобильным кольцевым гонкам и шоссейно-кольцевым мотогонкам.",-2.5227277,-13.618113,автодром предназначать проведение соревнование автомобильный кольцевой гонка шоссейный кольцевой мотогонки,none,0,18,100
Заправка,17.85986,10.772731,заправка,none,0,12,12
Заправка,17.89174,10.776086,заправка,none,0,12,12
Заправка,17.84165,10.760383,заправка,none,0,12,12
"Концертный зал , танцевальный зал , подземный паркинг и офис.",-2.2290268,-23.171616,концертный зал танцевальный зал подземный паркинг офис,зал,20,50,56
"Многоуровневая парковка с интересным решением фасада- бионика, уютная рекреационная зона.",-26.89911,5.0175834,многоуровневый парковка интересный решение фасад бионика уютный рекреационный зона,парковка,44,91,0
"Многоуровневая парковка. Ж/б конструкции, металлические ограждения.",-7.051907,-31.589808,многоуровневый парковка б конструкция металлический ограждение,парковка,44,50,96
Крытая автомобильная парковка. Желтые стены.,-9.543778,-8.736179,крытый автомобильный парковка желтый стена,парковка,44,25,45
"Открытая площадка в городской среде, строение из красного кирпича.",-25.10036,-10.221807,открытый площадка городской среда строение красный кирпич,площадка,46,7,1
"Открытая площадка, строения из красного кирпича.",-25.408632,-11.352534,открытый площадка строение красный кирпич,площадка,46,7,1
"Площадка, строение из красного кирпича, наружные, открытые инженерные элементы  коммуникации.",-23.525732,-9.909311,площадка строение красный кирпич наружный открытый инженерный элемент коммуникация,площадка,46,7,1
"Парковка на крыше , панорамный вид города.",22.115753,-18.141014,парковка крыша панорамный вид город,парковка,44,63,95
Пространство с множеством комнат (аудитории и лекторные залы).,17.001528,-28.034664,пространство множество комната аудитория лекторный зал,пространство,54,47,68
"Большое помещение с бассейном, баней и верандой .",17.615997,-8.097986,большой помещение бассейн баня веранда,помещение,51,1,2
